feature_type,feature_name
"1000","Shelter"
"2100","Bench"
"2200","Trash Can"
"2300","Bike Storage"
"2310","Bike Rack"
"2320","Bike Locker"
"2400","Vending Machine"
"2410","Ticket Vending Machine"
"2420","Food Vending Machine"
"2500","Phone"
"3100","Curbcut"
"3200","Sidewalk"
"3300","Paved Landing"
"3310","Paved Front Door Landing"
"3320","Paved Back Door Landing"
"3400","Crosswalk"
"4000","Information Display"
"4100","Schedule Display"
"4110","Printed Schedule Display"
"4120","Electronic Schedule Display"
"4200","Real Time Arrival Display"
"5000","Lighting"
"5100","Shelter Light"
"5200","Street Light"
